POA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA6321,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,3,9,13,28,17,18,18,25,28,83,5,232
POA6322,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,4,0,0,4,9,3,15,6,15,5,22,3,22,5,102
POA6323,0,3,0,0,3,0,0,0,0,10,0,0,3,3,0,5,0,3,10,21,39,50,41,54,39,38,26,68,15,377
POA6324,0,14,7,3,13,6,5,4,0,57,4,4,7,4,4,8,3,5,14,62,64,192,152,200,188,209,146,281,31,1459
POA6326,0,0,0,0,4,0,3,0,0,11,0,0,0,0,0,0,0,0,0,5,16,27,25,25,32,38,16,70,3,257
POA6327,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,9,10,21,11,14,3,16,11,32,10,130
POA6328,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,12,12,20,23,22,18,20,9,85,8,215
POA6330,21,110,66,86,135,122,60,98,13,717,24,88,49,64,71,89,35,78,121,627,743,2211,1618,2113,2673,2320,1472,2212,270,15635
POA6333,8,11,18,3,10,13,5,10,0,70,4,32,14,14,6,15,5,10,15,104,158,427,341,328,229,317,167,370,36,2364
POA6335,0,0,0,0,0,0,3,3,3,15,0,4,3,3,0,0,0,9,5,24,12,45,19,28,41,65,42,92,11,360
POA6336,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,8,14,20,14,3,29,17,59,3,170
POA6337,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,11,12,25,20,27,26,47,22,105,3,286
POA6338,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,6,14,40,16,31,20,63,31,129,7,357
POA6341,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,23,12,20,13,25,19,54,3,167
POA6343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,6,7,3,13,12,63,7,131
POA6346,0,0,0,0,0,0,0,3,0,7,0,0,3,0,0,0,0,3,0,7,17,33,20,28,28,44,48,179,3,407
POA6348,0,3,0,0,0,6,0,4,0,7,0,0,3,0,0,3,0,3,0,11,20,33,35,21,23,28,23,123,5,311
POA6350,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,14,9,13,21,24,9,40,3,132
POA6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,5,3,16,0,44
POA6352,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,4,3,11,11,4,3,13,11,33,7,92
POA6353,3,3,0,0,4,6,3,4,0,30,0,0,0,0,0,7,0,5,8,21,23,22,30,46,28,79,45,143,11,435
POA6355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,13,23,11,16,8,37,22,104,9,243
POA6356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,3,3,10,0,9,9,32,3,78
POA6357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,4,3,3,9,0,27,3,53
POA6358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,8,3,30,0,59
POA6359,0,0,0,0,0,0,3,3,0,10,0,0,0,0,0,5,0,0,3,12,12,19,19,19,22,32,31,113,3,268
POA6361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,4,8,4,4,27,0,64
POA6363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,3,3,27,0,52
POA6365,0,3,0,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,3,11,15,25,26,18,22,32,37,102,7,275
POA6367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,6,17,14,10,17,24,24,51,3,171
POA6368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,4,7,27,0,46
POA6369,0,0,0,0,5,0,3,0,0,9,0,0,0,0,0,0,0,5,4,16,12,25,23,33,33,65,32,99,10,328
POA6370,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,16,12,38,11,21,20,33,20,61,8,221
POA6372,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,10,4,3,3,3,17,3,53
POA6373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,5,4,3,4,20,3,51
POA6375,0,0,3,0,0,4,3,3,0,13,3,0,3,0,0,7,0,0,3,13,26,35,42,48,38,90,53,115,12,449
POA6383,0,0,3,0,0,3,0,0,0,6,0,0,3,0,0,0,0,3,4,11,28,35,40,31,27,48,33,95,18,354
POA6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,10,0,18
POA6385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,8
POA6386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,3,3,3,17,0,44
POA6390,0,3,3,0,0,3,3,6,0,26,0,0,0,0,3,3,0,7,8,23,69,76,68,60,54,105,87,291,28,839
POA6391,0,4,3,0,0,3,0,3,0,15,0,0,0,3,0,3,0,0,4,11,33,45,52,52,32,65,47,184,10,528
POA6392,0,0,4,0,0,0,0,0,0,7,0,3,0,0,3,5,0,0,3,19,9,30,30,23,29,26,29,62,3,240
POA6393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,12,3,6,4,10,3,18,3,63
POA6394,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,3,4,10,11,21,26,12,41,13,104,10,246
POA6395,3,0,0,3,3,6,9,6,0,29,5,0,3,0,0,4,4,0,14,21,45,78,73,81,77,135,56,219,21,782
