POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA6463,0,0,0,0,0,0,0,0
POA6465,4,0,0,0,0,0,0,4
POA6466,6,0,0,0,0,0,0,6
POA6467,3,0,0,0,0,0,0,3
POA6468,21,3,3,0,0,0,0,27
POA6470,0,0,0,0,0,0,0,0
POA6472,25,0,0,0,0,0,0,28
POA6473,3,0,0,0,0,0,0,4
POA6475,35,0,6,0,0,0,0,45
POA6476,3,0,0,0,0,0,0,4
POA6477,29,0,3,0,0,0,0,29
POA6479,56,0,4,0,0,0,0,61
POA6480,7,0,3,0,0,0,0,6
POA6484,3,0,0,0,0,0,0,3
POA6485,31,5,3,0,0,0,0,37
POA6487,3,0,0,0,0,0,0,3
POA6488,11,0,0,0,0,0,0,10
POA6489,3,0,0,0,0,0,0,3
POA6490,19,3,3,0,0,0,0,26
POA6501,92,7,18,0,0,0,0,118
POA6502,95,4,5,4,0,0,0,110
POA6503,198,18,8,4,0,0,0,223
POA6504,17,0,0,0,0,0,0,18
POA6505,10,0,0,0,0,0,0,14
POA6506,4,0,0,0,0,0,0,4
POA6507,47,0,3,0,0,0,0,47
POA6509,19,0,0,0,0,0,0,20
POA6510,172,6,10,3,0,0,4,204
POA6511,31,0,3,0,0,0,0,40
POA6512,12,0,0,0,0,0,0,10
POA6513,22,0,0,0,0,0,0,27
POA6514,31,0,7,0,0,0,0,37
POA6515,17,0,0,0,0,0,0,23
