region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6180,8,5,13,8,5,13,4,14,18,3,22,25,65,30,95,53,15,68,47,11,58,50,17,67,74,18,92,104,15,119,131,0,131,116,17,133,56,0,56,29,0,29,27,4,31,156,9,165,8,0,8,939,182,1121
POA6181,3,3,6,0,0,0,0,0,0,0,0,0,4,3,7,3,3,6,9,0,9,6,3,9,7,3,10,14,0,14,13,0,13,16,3,19,13,0,13,4,0,4,14,0,14,20,0,20,3,0,3,129,18,147
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,7,7,6,0,6,3,4,7,0,8,8,24,6,30,16,5,21,20,8,28,16,7,23,14,0,14,38,14,52,34,0,34,28,0,28,15,3,18,4,0,4,16,0,16,43,3,46,11,6,17,288,71,359
POA6208,14,20,34,41,20,61,18,52,70,51,203,254,335,148,483,243,73,316,246,45,291,153,58,211,173,36,209,311,59,370,205,7,212,225,61,286,136,0,136,46,0,46,61,0,61,364,14,378,55,72,127,2677,868,3545
POA6209,6,8,14,7,4,11,0,23,23,8,68,76,62,49,111,36,14,50,40,14,54,29,17,46,33,8,41,52,6,58,45,0,45,44,5,49,31,0,31,5,0,5,12,0,12,54,0,54,14,13,27,478,229,707
POA6210,148,157,305,193,187,380,118,578,696,267,1596,1863,2018,1124,3142,1650,635,2285,1487,448,1935,1126,373,1499,1034,315,1349,1771,408,2179,1267,63,1330,1373,306,1679,837,30,867,321,14,335,460,20,480,2147,135,2282,355,404,759,16572,6793,23365
POA6211,12,8,20,12,10,22,11,37,48,29,85,114,139,57,196,148,40,188,133,20,153,104,24,128,112,20,132,171,26,197,123,0,123,137,31,168,107,0,107,32,0,32,50,0,50,244,10,254,23,15,38,1587,383,1970
POA6213,4,4,8,5,3,8,0,9,9,3,11,14,21,9,30,10,9,19,11,0,11,21,5,26,12,7,19,25,6,31,17,0,17,8,9,17,8,4,12,9,0,9,11,0,11,25,0,25,5,5,10,195,81,276
POA6214,3,3,6,3,3,6,0,3,3,4,6,10,8,3,11,3,0,3,3,3,6,7,3,10,4,0,4,12,3,15,5,0,5,11,3,14,4,0,4,3,0,3,3,0,3,19,0,19,3,0,3,95,30,125
