region_id,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6255,0,368,368,546,24,570,162,3,165,169,0,169,73,0,73,34,0,34,984,395,1379
POA6256,0,16,16,37,0,37,6,0,6,12,0,12,11,0,11,0,0,0,66,16,82
POA6258,0,663,663,836,42,878,314,6,320,305,0,305,165,0,165,62,0,62,1682,711,2393
POA6260,0,120,120,213,6,219,78,0,78,75,3,78,37,0,37,23,0,23,426,129,555
POA6262,0,86,86,120,9,129,48,0,48,31,0,31,16,0,16,3,0,3,218,95,313
POA6271,0,201,201,362,23,385,155,0,155,131,0,131,64,0,64,36,0,36,748,224,972
POA6275,0,147,147,224,14,238,50,0,50,41,0,41,29,0,29,12,0,12,356,161,517
POA6280,0,2063,2063,3101,174,3275,1171,28,1199,1284,9,1293,541,0,541,223,0,223,6320,2274,8594
POA6281,0,370,370,714,64,778,275,24,299,354,4,358,131,3,134,27,0,27,1501,465,1966
POA6282,0,68,68,157,10,167,66,0,66,92,0,92,22,0,22,7,0,7,344,78,422
POA6284,0,103,103,174,11,185,95,0,95,92,0,92,39,0,39,9,0,9,409,114,523
POA6285,0,576,576,828,73,901,453,34,487,432,12,444,178,0,178,41,0,41,1932,695,2627
POA6286,0,48,48,94,4,98,30,0,30,27,0,27,7,0,7,3,0,3,161,52,213
POA6288,0,32,32,76,3,79,13,0,13,22,0,22,3,0,3,4,0,4,118,35,153
POA6290,0,238,238,285,17,302,79,0,79,46,0,46,19,0,19,7,0,7,436,255,691
POA6302,0,349,349,541,27,568,148,0,148,160,0,160,74,0,74,30,0,30,953,376,1329
POA6304,0,202,202,273,9,282,71,3,74,55,0,55,27,0,27,18,0,18,444,214,658
POA6306,0,99,99,123,4,127,46,0,46,38,0,38,12,0,12,14,0,14,233,103,336
POA6308,0,136,136,262,12,274,83,0,83,66,0,66,35,0,35,18,0,18,464,148,612
POA6309,0,29,29,45,3,48,17,0,17,6,0,6,9,0,9,3,0,3,80,32,112
POA6311,0,52,52,90,0,90,23,0,23,43,0,43,13,0,13,5,0,5,174,52,226
POA6312,0,495,495,612,39,651,212,11,223,209,0,209,128,0,128,53,0,53,1214,545,1759
POA6313,0,22,22,60,4,64,23,0,23,23,0,23,5,0,5,3,0,3,114,26,140
POA6315,0,220,220,271,12,283,81,0,81,79,0,79,40,0,40,25,0,25,496,232,728
POA6316,0,36,36,52,3,55,28,0,28,30,0,30,7,0,7,0,0,0,117,39,156
POA6317,0,414,414,474,39,513,186,8,194,180,0,180,125,0,125,86,0,86,1051,461,1512
POA6318,0,22,22,30,0,30,13,0,13,11,0,11,9,0,9,5,0,5,68,22,90
POA6320,0,69,69,103,0,103,43,0,43,47,0,47,30,0,30,17,0,17,240,69,309
POA6321,0,33,33,39,0,39,12,0,12,11,0,11,5,0,5,5,0,5,72,33,105
POA6322,0,37,37,83,0,83,17,0,17,17,0,17,13,0,13,3,0,3,133,37,170
POA6323,0,77,77,157,11,168,49,0,49,42,0,42,23,0,23,7,0,7,278,88,366
POA6324,0,290,290,450,12,462,158,0,158,134,0,134,66,0,66,34,0,34,842,302,1144
POA6326,0,21,21,79,3,82,23,0,23,33,0,33,8,0,8,10,0,10,153,24,177
POA6327,0,27,27,40,4,44,17,0,17,10,0,10,5,0,5,10,0,10,82,31,113
POA6328,0,39,39,61,4,65,15,0,15,24,0,24,14,0,14,0,0,0,114,43,157
POA6330,0,3248,3248,4321,270,4591,1687,48,1735,1622,8,1630,689,3,692,354,3,357,8673,3580,12253
POA6333,0,569,569,802,36,838,253,9,262,246,0,246,86,0,86,36,0,36,1423,614,2037
POA6335,0,90,90,89,7,96,26,0,26,41,0,41,30,0,30,20,0,20,206,97,303
POA6336,0,29,29,41,0,41,10,0,10,9,0,9,5,0,5,3,0,3,68,29,97
POA6337,0,42,42,62,6,68,31,0,31,25,0,25,18,0,18,0,0,0,136,48,184
POA6338,0,93,93,79,8,87,33,0,33,47,0,47,13,0,13,8,0,8,180,101,281
POA6341,0,32,32,47,0,47,9,0,9,18,0,18,11,0,11,0,0,0,85,32,117
POA6343,0,19,19,35,0,35,5,0,5,13,0,13,14,0,14,0,0,0,67,19,86
POA6346,0,68,68,76,3,79,23,0,23,26,0,26,16,0,16,9,0,9,150,71,221
POA6348,0,134,134,187,7,194,53,0,53,67,0,67,34,0,34,11,0,11,352,141,493
POA6350,0,36,36,45,0,45,12,0,12,0,0,0,3,0,3,3,0,3,63,36,99
POA6352,0,40,40,57,3,60,16,0,16,21,0,21,15,0,15,5,0,5,114,43,157
POA6353,0,86,86,109,5,114,34,0,34,30,0,30,24,0,24,5,0,5,202,91,293
POA6355,0,92,92,113,3,116,39,3,42,44,0,44,23,0,23,6,0,6,225,98,323
POA6358,0,17,17,46,0,46,9,0,9,15,0,15,4,0,4,0,0,0,74,17,91
POA6359,0,40,40,43,3,46,16,0,16,23,0,23,8,0,8,4,0,4,94,43,137
POA6365,0,73,73,89,3,92,30,3,33,28,0,28,11,0,11,9,0,9,167,79,246
POA6367,0,38,38,34,3,37,9,0,9,8,0,8,8,0,8,8,0,8,67,41,108
POA6368,0,18,18,36,0,36,9,0,9,8,0,8,6,0,6,0,0,0,59,18,77
POA6369,0,68,68,108,0,108,31,0,31,22,0,22,13,0,13,3,0,3,177,68,245
POA6370,0,63,63,81,4,85,31,0,31,22,0,22,7,0,7,10,0,10,151,67,218
POA6373,0,24,24,38,0,38,10,0,10,13,0,13,9,0,9,0,0,0,70,24,94
POA6375,0,124,124,135,5,140,26,0,26,33,0,33,16,0,16,9,0,9,219,129,348
POA6383,0,121,121,173,13,186,36,0,36,45,0,45,17,0,17,15,0,15,286,134,420
POA6386,0,30,30,34,0,34,5,0,5,15,0,15,10,0,10,4,0,4,68,30,98
POA6390,0,124,124,205,10,215,86,0,86,91,0,91,39,0,39,24,0,24,445,134,579
POA6391,0,88,88,161,6,167,47,3,50,32,0,32,25,0,25,5,0,5,270,97,367
POA6392,0,52,52,75,3,78,28,0,28,23,0,23,14,0,14,4,0,4,144,55,199
POA6393,0,40,40,66,0,66,19,0,19,17,0,17,11,0,11,3,0,3,116,40,156
POA6394,0,28,28,60,4,64,26,0,26,26,0,26,7,0,7,6,0,6,125,32,157
POA6395,0,158,158,229,12,241,72,0,72,80,0,80,26,0,26,17,0,17,424,170,594
POA6396,0,41,41,43,3,46,17,0,17,18,0,18,11,0,11,0,0,0,89,44,133
POA6397,0,40,40,39,4,43,14,0,14,11,0,11,5,0,5,3,0,3,72,44,116
POA6398,0,63,63,100,3,103,24,0,24,16,0,16,12,0,12,4,0,4,156,66,222
POA6401,0,754,754,917,69,986,351,3,354,352,4,356,166,0,166,97,0,97,1883,830,2713
POA6403,0,22,22,27,0,27,10,0,10,7,0,7,9,0,9,3,0,3,56,22,78
POA6405,0,24,24,45,5,50,9,0,9,17,0,17,6,0,6,3,0,3,80,29,109
POA6407,0,98,98,138,6,144,48,7,55,43,0,43,24,0,24,7,0,7,260,111,371
POA6409,0,44,44,43,5,48,21,0,21,15,0,15,17,0,17,3,0,3,99,49,148
POA6410,0,121,121,151,7,158,51,0,51,61,0,61,27,0,27,17,0,17,307,128,435
POA6413,0,7,7,29,0,29,11,0,11,8,0,8,3,0,3,0,0,0,51,7,58
POA6415,0,341,341,353,25,378,142,0,142,117,0,117,64,3,67,28,0,28,704,369,1073
POA6418,0,89,89,121,5,126,28,0,28,30,0,30,10,0,10,14,0,14,203,94,297
POA6421,0,19,19,28,0,28,12,0,12,13,0,13,10,0,10,3,0,3,66,19,85
POA6423,0,29,29,35,3,38,9,0,9,14,0,14,9,0,9,0,0,0,67,32,99
POA6425,0,18,18,27,0,27,6,0,6,13,0,13,0,0,0,0,0,0,46,18,64
POA6426,0,117,117,125,3,128,50,0,50,55,0,55,25,0,25,9,0,9,264,120,384
POA6429,0,131,131,130,7,137,46,0,46,48,3,51,25,0,25,24,0,24,273,141,414
POA6430,0,1594,1594,2090,250,2340,1145,65,1210,1252,27,1279,604,9,613,288,0,288,5379,1945,7324
POA6431,0,38,38,21,4,25,15,0,15,11,0,11,18,0,18,35,0,35,100,42,142
POA6432,0,594,594,726,84,810,408,26,434,349,0,349,175,0,175,111,3,114,1769,707,2476
POA6434,0,5,5,3,0,3,7,0,7,6,0,6,3,0,3,7,0,7,26,5,31
