region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA6352,155,21,12,11,19,6,6,11,0,241
POA6353,145,38,62,23,53,20,28,42,13,424
POA6355,330,28,26,17,28,9,31,48,4,521
POA6358,97,6,6,9,11,0,9,9,6,153
POA6359,93,28,59,16,16,14,57,39,4,326
POA6365,135,33,29,30,19,5,22,35,9,317
POA6367,20,4,29,18,6,5,12,12,6,112
POA6368,76,7,9,6,9,4,0,9,3,123
POA6369,112,24,42,26,20,10,20,36,9,299
POA6370,93,17,39,19,27,3,20,24,6,248
POA6373,97,10,11,11,3,5,8,7,0,152
POA6375,111,38,62,36,46,25,44,44,6,412
POA6383,150,41,50,37,35,22,50,43,3,431
POA6386,76,7,6,7,3,3,7,9,0,118
POA6390,122,142,281,81,112,21,236,123,30,1148
POA6391,206,47,63,40,41,28,51,65,4,545
POA6392,115,15,35,9,22,6,28,18,6,254
POA6393,144,8,14,3,13,3,12,17,4,218
POA6394,137,18,18,13,14,7,0,13,0,220
POA6395,248,66,99,53,52,48,51,109,15,741
POA6396,70,13,18,0,10,0,22,53,3,189
POA6397,70,10,12,9,17,3,0,35,0,156
POA6398,47,35,27,20,24,19,21,39,8,240
POA6401,426,409,508,343,460,283,268,403,39,3139
POA6403,29,13,23,6,7,10,12,4,0,104
POA6405,50,6,18,12,4,9,17,22,0,138
POA6407,111,49,74,30,57,39,33,62,12,467
POA6409,74,9,12,7,12,6,12,29,0,161
POA6410,110,44,71,48,48,26,40,68,7,462
POA6413,39,7,9,4,7,7,9,4,7,93
POA6415,211,185,237,114,158,111,163,152,19,1350
POA6418,102,31,40,30,34,15,36,30,6,324
POA6421,48,15,13,0,9,6,9,15,6,121
POA6423,51,22,17,9,16,4,27,16,0,162
POA6425,61,0,9,6,17,0,9,7,0,109
POA6426,112,54,113,34,56,18,95,57,17,556
POA6429,72,61,143,45,50,19,198,104,16,708
POA6430,1177,1833,2606,956,1531,837,1745,1039,176,11900
POA6431,15,30,9,28,17,8,6,72,3,188
POA6432,246,301,874,299,419,274,723,422,78,3636
POA6434,3,0,0,6,0,0,3,9,0,21
POA6436,4,8,0,11,9,0,15,26,4,77
POA6437,39,94,203,25,52,18,289,83,11,814
POA6438,57,68,115,32,47,5,107,69,6,506
POA6440,55,66,180,48,41,6,194,66,12,668
POA6442,53,102,282,83,110,49,413,126,28,1246
POA6443,61,38,104,55,37,25,124,64,13,521
POA6445,68,3,6,3,9,0,3,4,0,96
POA6447,146,7,12,15,9,0,21,24,3,237
POA6448,54,22,27,10,21,10,18,20,6,188
POA6450,972,734,967,502,704,536,579,769,78,5841
POA6460,152,45,47,37,55,22,40,41,6,445
POA6461,31,19,24,13,13,12,14,23,6,155
POA6462,103,9,7,7,12,3,11,8,6,166
POA6468,55,9,15,0,11,3,15,8,0,116
POA6472,68,6,6,0,9,0,3,15,0,107
POA6475,88,4,22,11,20,6,21,23,6,201
POA6477,80,11,18,3,12,0,16,18,4,162
POA6479,133,20,24,16,16,12,20,26,9,276
POA6484,17,20,67,6,5,3,111,21,7,257
POA6485,82,29,17,11,26,11,18,17,3,214
POA6488,71,9,21,8,16,6,9,17,0,157
POA6490,37,12,13,8,12,0,12,12,0,106
POA6501,65,45,103,41,81,38,61,56,10,500
POA6502,77,47,73,30,52,36,53,73,6,447
POA6503,297,60,126,54,94,40,104,185,16,976
POA6505,61,11,11,7,15,4,16,23,0,148
POA6507,93,25,16,13,18,16,29,47,0,257
POA6509,94,12,31,6,13,6,8,33,0,203
POA6510,215,107,150,84,121,85,101,135,9,1007
POA6511,18,14,21,17,20,14,18,44,3,169
POA6513,37,4,13,6,12,3,7,16,3,101
POA6514,32,14,41,20,15,7,32,59,0,220
POA6515,134,24,19,7,17,6,30,23,0,260
