POA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
POA6058,0,0,8,0,8,0,14,0,3,20,20,120,4,167,0,0,6,27,162,8,209,0,0,0,0,31,0,33,0,0,16,29,273,10,323,3,0,13,14,60,0,93,3,0,23,15,58,3,103,0,0,10,9,42,0,65,3,0,16,37,144,9,207,0,0,0,6,8,0,19,0,0,15,4,11,0,24,0,0,3,0,11,0,25,3,4,43,24,26,0,104,4,4,5,3,26,4,47,8,9,14,29,47,5,109,8,4,29,8,18,3,76,7,0,23,9,23,0,66,0,0,6,4,23,0,36,3,0,8,11,104,3,129,0,0,13,11,89,13,129,58,34,278,260,1275,68,1972,0,0,4,0,5,0,10,0,0,16,8,14,4,48,8,3,6,10,18,7,47,0,0,3,3,9,0,8,3,0,12,10,24,0,55,0,0,4,4,23,8,47,3,3,37,20,69,11,142,0,0,19,18
POA6059,0,0,4,3,3,0,16,32,6,63,19,83,6,210,13,7,69,39,120,9,259,0,8,19,7,16,3,59,17,6,96,82,393,14,601,8,3,44,24,48,3,125,19,5,101,45,80,7,257,11,0,49,42,61,5,167,11,0,51,42,78,7,191,3,4,24,15,9,3,53,17,12,84,29,6,3,143,5,3,34,24,22,7,93,57,17,256,68,36,17,457,7,0,31,17,45,9,116,41,33,95,59,75,11,305,42,26,106,22,31,4,227,46,12,128,34,45,12,283,8,4,21,8,13,0,55,14,5,25,30,106,6,178,16,0,51,34,69,19,186,368,148,1354,642,1344,138,3997,0,0,0,0,6,0,7,5,6,29,11,9,0,55,3,3,25,17,31,7,89,6,0,13,3,0,0,22,3,3,34,16,36,8,102,6,0,23,9,19,0,55,17,7,107,46,83,22,282,6,0,53,30
POA6060,0,0,3,8,8,0,16,35,6,91,25,99,5,261,21,4,69,38,104,13,249,10,4,31,11,17,3,74,25,5,127,98,420,15,690,13,3,37,14,25,4,100,36,0,126,44,110,7,323,14,4,98,60,71,6,266,16,4,57,40,83,14,216,10,3,37,17,22,0,93,22,13,94,35,22,8,191,4,7,29,17,22,8,89,77,24,325,85,44,13,566,11,6,51,32,36,3,139,33,27,103,44,58,4,276,63,31,126,13,20,4,261,42,26,149,43,45,19,324,3,6,32,23,21,0,94,9,5,38,24,113,4,188,15,3,64,28,79,17,207,451,176,1685,718,1421,147,4608,0,0,4,0,0,0,5,12,8,59,18,31,3,133,8,0,32,26,23,10,96,8,3,22,5,5,3,43,17,5,57,30,40,3,148,3,0,28,15,18,0,68,31,4,119,79,80,13,321,21,5,89,59
POA6061,3,0,8,3,11,6,30,18,3,64,33,111,12,241,25,3,101,74,241,16,454,8,0,19,10,36,0,73,26,0,104,104,596,37,866,15,5,40,36,66,9,164,54,5,120,91,154,19,451,21,0,128,130,134,18,437,37,4,137,137,144,25,486,12,0,36,19,22,5,101,20,5,37,20,18,5,112,3,0,16,16,20,6,59,54,12,212,77,64,16,436,11,0,64,45,76,20,216,49,15,126,80,106,15,394,31,27,92,19,46,12,233,37,6,161,88,95,10,405,8,0,25,17,31,0,84,11,3,46,43,165,20,292,14,3,62,67,156,62,367,466,115,1597,1092,2286,313,5876,0,0,7,3,5,3,21,6,3,35,16,22,3,83,12,6,40,14,42,7,120,4,4,7,7,3,0,31,4,0,32,27,34,8,110,6,0,19,12,28,6,63,23,6,114,92,134,21,384,21,3,114,87
POA6062,0,0,4,0,6,0,17,25,9,59,30,120,3,246,19,9,89,73,267,28,477,8,3,20,9,33,0,72,16,4,104,100,652,24,905,11,6,26,28,83,10,168,14,3,109,66,157,20,369,19,0,66,81,104,11,283,18,9,66,68,153,12,322,6,0,34,20,33,3,89,9,7,43,31,19,8,114,4,0,18,19,29,0,83,59,20,257,74,69,17,493,10,0,34,26,67,4,143,38,22,123,87,108,13,388,43,26,109,24,47,8,262,28,11,127,44,59,9,275,8,0,38,7,36,0,86,11,3,34,27,237,10,319,4,0,70,35,141,43,302,336,135,1422,860,2418,228,5399,0,0,3,3,0,5,14,13,4,38,9,20,0,85,12,4,36,27,31,14,119,0,0,7,14,9,0,31,3,0,47,23,36,4,127,5,3,20,18,25,10,76,18,6,126,71,128,20,369,6,0,87,66
POA6063,0,0,3,0,8,0,7,7,3,25,19,84,3,128,4,0,39,29,142,8,223,3,0,6,0,16,4,30,4,0,29,34,240,10,316,0,0,17,13,40,5,77,4,0,37,22,74,9,156,0,0,21,21,36,9,77,3,0,31,29,90,12,159,4,0,9,6,13,0,28,3,0,13,12,10,6,45,0,0,3,3,12,3,14,10,6,51,31,11,6,116,3,0,8,9,45,4,59,6,3,34,29,57,5,127,4,5,23,9,23,0,70,7,5,43,22,35,3,113,0,0,6,3,8,0,19,0,0,4,11,99,8,124,7,0,16,13,87,19,138,73,31,407,319,1125,103,2053,0,0,0,0,3,0,3,0,0,8,3,13,0,26,0,0,13,3,26,7,53,0,0,0,3,10,0,15,0,3,13,0,19,0,37,0,0,3,4,16,3,29,10,0,43,33,63,10,155,3,0,25,20
POA6064,0,0,7,7,9,3,20,3,0,25,21,103,11,169,3,0,53,43,244,10,355,3,0,13,4,41,3,60,6,0,53,82,594,37,781,3,0,24,24,68,9,134,17,3,41,45,141,12,255,0,0,31,24,89,7,162,12,3,41,40,139,14,247,0,6,9,12,23,5,51,0,0,24,16,14,0,59,3,0,5,9,24,3,41,32,5,100,50,52,8,253,3,3,18,22,82,5,130,21,5,58,72,100,12,265,18,10,63,22,45,8,174,7,12,59,39,75,10,204,3,0,17,15,16,0,54,10,0,17,24,209,8,271,4,0,28,30,104,54,225,156,55,697,603,2165,231,3907,0,0,8,0,8,3,23,4,0,15,7,12,0,50,4,0,25,21,35,10,92,0,0,9,0,8,0,16,0,3,20,28,35,7,93,0,0,10,8,14,0,41,14,3,74,63,136,25,317,4,0,30,34
POA6065,4,0,10,4,27,4,54,51,18,183,110,483,32,878,30,9,144,104,572,26,878,11,3,42,29,103,0,197,20,10,162,224,1732,79,2230,16,8,67,58,161,8,322,37,6,142,87,320,32,622,19,3,68,75,151,17,333,24,8,100,90,287,20,529,9,0,36,33,64,3,150,27,21,104,104,63,3,320,3,7,33,32,44,3,117,100,34,384,151,136,27,841,14,3,55,43,167,11,299,53,29,208,203,263,31,793,64,54,208,50,77,7,464,52,13,219,81,118,18,501,4,4,33,19,61,3,133,19,3,60,60,459,17,613,21,0,95,73,308,53,558,592,220,2358,1638,5607,413,10829,0,0,13,6,12,3,36,15,3,60,28,47,11,168,9,5,84,65,81,11,260,5,0,17,11,20,0,53,6,4,83,80,131,16,318,8,3,53,33,64,4,164,24,8,207,168,324,50,790,17,3,71,78
POA6066,0,0,5,4,3,0,11,3,3,29,25,119,8,184,7,3,42,31,205,13,300,0,0,11,10,36,0,58,8,4,28,28,384,22,467,5,0,17,18,82,3,125,5,3,35,25,101,9,178,4,0,14,19,52,5,94,4,3,23,37,93,18,179,0,0,9,7,24,0,36,6,0,13,13,14,0,48,0,0,10,7,10,0,26,25,5,78,41,34,6,181,0,0,10,6,48,7,70,12,7,32,55,84,4,198,17,6,52,20,30,5,127,0,5,40,28,35,3,120,0,0,5,7,16,0,36,4,0,10,15,127,3,163,3,0,26,10,88,20,146,105,51,493,411,1579,115,2751,0,0,3,0,0,0,3,3,0,16,3,3,3,25,0,0,19,17,22,9,80,3,0,0,3,3,0,10,0,0,15,20,16,3,60,0,0,8,5,13,0,32,4,4,38,52,98,15,212,7,3,22,12
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,3,0,7,4,22,3,36,30,12,99,78,483,19,720,12,7,74,80,427,13,618,9,0,23,12,42,5,102,7,6,69,116,794,34,1035,11,4,33,63,145,9,271,5,3,69,83,228,22,411,7,4,35,41,151,5,245,26,3,72,107,268,32,505,6,0,17,27,25,3,86,13,12,34,35,32,6,117,0,0,19,16,37,3,75,39,14,122,88,89,14,368,7,9,26,28,87,6,162,20,10,96,143,217,16,502,28,31,89,27,48,0,224,31,7,83,47,63,9,248,4,3,16,12,39,4,70,8,3,21,28,279,3,350,13,0,30,42,166,22,271,289,124,1034,1102,3632,244,6421,0,0,5,7,10,0,30,11,0,28,26,42,9,111,5,3,27,48,71,9,163,6,0,10,6,8,0,26,3,3,29,48,87,11,189,0,3,19,28,36,9,99,16,5,87,131,256,40,542,15,6,61,59
POA6070,0,0,3,0,3,0,6,9,7,25,10,17,3,66,0,0,7,6,18,3,38,4,0,8,4,7,0,17,3,0,9,18,55,5,88,0,0,3,7,11,0,17,0,0,8,0,13,0,22,0,0,3,0,8,0,14,0,0,3,0,8,3,17,0,0,3,6,0,0,13,3,0,3,3,3,0,9,0,0,3,3,0,0,6,16,9,46,12,12,0,89,4,0,0,3,13,0,14,9,9,23,16,11,3,65,30,21,37,5,0,0,93,3,0,20,4,3,4,32,0,0,3,0,0,0,5,0,0,3,3,19,0,24,3,0,11,3,15,3,33,85,46,218,99,204,22,669,0,0,0,0,0,0,0,4,0,6,3,0,0,10,0,0,6,3,0,0,12,0,0,0,0,0,0,0,0,0,3,4,0,0,11,0,0,3,0,0,0,3,0,0,13,16,6,4,45,0,0,7,3
POA6071,0,0,0,0,0,0,3,6,0,13,9,27,0,59,0,0,3,6,32,3,46,0,0,3,0,3,0,9,3,0,7,13,71,0,92,0,0,6,0,3,0,11,0,0,3,4,15,0,26,0,0,3,0,4,0,8,0,0,3,8,17,3,34,3,0,0,5,0,0,6,0,0,0,3,3,0,11,0,0,0,0,4,0,13,13,0,33,12,9,0,65,0,0,0,0,8,0,15,12,9,16,10,10,0,59,10,8,22,7,3,0,51,4,3,23,6,7,0,38,0,0,3,0,3,0,11,0,0,0,3,30,0,30,0,0,4,5,9,3,24,57,25,143,97,265,16,606,0,0,0,0,0,0,0,3,0,8,0,0,0,13,0,0,0,4,3,0,9,0,0,0,0,0,0,4,0,0,0,3,5,0,8,0,0,0,3,3,0,8,0,0,6,5,11,4,38,0,0,4,3
POA6072,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,5,0,15,0,0,0,0,3,0,6,0,0,0,3,25,0,31,0,0,0,0,3,0,5,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,3,0,3,0,0,0,4,0,0,11,3,5,3,0,0,0,13,0,0,3,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,11,0,11,0,0,3,0,5,3,8,9,3,20,21,78,4,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0
POA6073,0,0,3,0,3,0,3,4,0,10,5,38,3,60,0,0,3,8,31,0,38,0,0,0,3,6,0,12,0,0,4,7,48,0,61,0,0,0,3,13,0,21,0,0,3,0,14,0,20,0,0,0,0,5,0,13,3,0,0,3,13,0,20,0,0,0,4,3,0,7,0,0,0,3,0,0,5,0,0,0,3,0,0,7,0,0,13,3,11,5,33,0,0,3,4,8,4,18,4,3,15,3,18,0,43,5,5,20,4,3,0,44,0,0,12,0,3,0,19,0,0,3,0,5,0,9,0,0,5,0,27,0,36,0,0,3,3,11,5,22,26,17,99,64,265,16,482,0,0,0,0,0,0,4,3,0,0,3,0,0,5,3,0,0,0,0,0,3,3,3,0,0,0,0,5,0,0,0,4,0,0,10,0,0,0,0,3,0,3,0,0,8,3,18,3,37,0,0,0,3
POA6074,0,0,0,0,0,0,3,0,0,3,6,7,0,15,0,0,0,0,13,0,10,0,0,0,0,3,0,3,0,0,0,4,29,0,35,0,0,0,0,0,0,5,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,3,4,0,10,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,10,0,0,0,0,3,0,3,0,0,5,6,5,0,17,3,6,12,0,0,0,20,0,0,3,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,7,0,12,0,0,3,3,10,3,15,4,3,31,24,100,5,173,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,3,5,8,0,10,0,0,0,0
POA6076,3,3,10,9,16,4,46,32,11,88,44,183,5,361,8,3,51,32,174,3,262,5,0,13,12,25,3,54,13,3,59,63,434,11,580,0,4,31,25,63,0,119,3,3,25,20,94,7,154,0,3,11,7,37,8,71,3,3,36,37,114,12,209,5,3,10,12,17,0,47,6,3,26,22,13,3,67,0,3,11,14,25,6,64,47,20,172,65,54,4,358,0,0,14,16,38,11,86,24,25,69,52,86,9,269,57,36,120,23,29,4,270,24,10,66,28,24,3,156,9,3,9,9,11,0,43,0,3,20,14,171,13,227,6,9,36,29,90,12,181,261,144,884,523,1709,109,3630,0,0,3,4,9,0,28,12,4,17,12,16,3,64,3,3,20,23,26,5,79,3,0,7,3,6,0,20,0,6,24,29,37,5,102,0,0,19,18,19,0,49,3,8,47,48,72,13,186,0,4,18,22
POA6077,3,0,0,0,5,0,6,0,0,0,5,4,3,13,0,0,0,3,8,3,12,0,0,0,0,5,0,7,0,0,0,5,45,3,53,0,0,0,0,3,0,5,0,0,3,0,10,0,14,0,0,0,0,3,0,3,0,0,0,0,11,0,19,0,0,0,0,3,0,4,0,0,0,3,0,0,7,0,0,3,0,4,0,6,3,0,4,3,0,0,16,0,0,0,0,6,0,10,0,0,3,4,5,0,12,0,3,4,0,6,0,14,7,0,3,0,0,0,5,0,0,0,0,0,0,3,0,0,0,4,3,0,12,0,0,0,0,7,0,10,16,9,27,30,136,12,226,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,10,0,0,0,3,0,0,3,0,0,7,0,8,0,16,0,0,3,0
POA6078,0,0,0,0,3,0,9,0,0,0,0,12,0,14,0,0,0,0,9,0,12,0,0,0,0,3,0,3,0,0,4,3,38,0,49,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,4,0,8,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,3,4,0,7,0,0,0,0,6,0,7,0,0,3,0,6,0,10,0,0,0,0,3,0,9,0,0,0,0,0,0,3,0,0,0,0,8,0,8,0,0,0,0,10,0,10,6,0,28,19,109,3,164,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6081,0,0,3,0,3,0,12,7,3,21,16,64,3,107,0,0,11,5,38,0,57,0,0,0,0,3,0,4,0,0,11,22,132,3,170,0,0,3,5,19,0,33,0,0,11,4,19,3,35,0,0,4,0,11,0,20,0,0,0,10,46,6,58,0,0,0,0,13,0,14,0,0,4,3,4,0,10,0,0,0,0,12,0,8,5,0,29,8,13,0,59,0,0,0,3,10,0,18,4,9,19,18,21,0,67,11,3,15,5,10,0,42,3,3,3,4,5,3,28,0,0,0,0,3,0,7,0,0,0,3,43,0,44,0,0,10,3,33,3,45,27,26,160,96,502,28,842,0,0,0,0,3,0,3,0,0,10,5,0,0,18,0,0,3,0,9,0,14,0,0,0,0,0,0,4,0,0,5,10,9,3,23,0,0,0,3,3,0,11,0,0,9,9,18,5,41,0,0,3,7
POA6082,0,0,4,0,4,0,6,0,3,14,9,42,0,70,0,0,0,5,33,0,42,0,0,0,0,3,0,7,0,0,9,14,71,5,95,0,0,0,6,10,3,16,0,0,0,3,17,0,21,0,0,0,0,4,0,8,0,0,3,0,28,3,38,0,0,0,0,3,0,3,0,0,4,3,0,0,10,0,0,0,0,5,0,8,8,0,17,8,4,0,34,0,0,0,0,12,0,12,0,5,15,7,24,0,52,3,9,19,4,9,0,40,0,0,10,4,7,0,22,0,0,0,3,5,0,9,0,0,0,4,33,0,37,0,0,0,0,17,3,23,14,13,87,77,333,17,541,0,0,3,3,4,0,8,0,0,3,3,4,0,16,0,0,0,3,9,0,9,0,0,0,0,0,0,0,0,0,3,0,6,0,15,0,0,0,0,3,0,4,0,0,3,3,16,3,33,0,0,4,0
POA6083,0,0,6,4,14,5,31,4,3,7,11,54,0,80,0,0,5,3,42,0,52,0,0,4,0,5,0,6,3,3,3,10,87,5,108,0,0,0,0,13,4,19,0,0,3,3,12,0,19,0,0,3,0,9,0,11,0,0,3,10,16,4,30,0,0,0,0,9,0,6,0,0,4,0,3,0,9,0,0,0,3,12,0,15,7,0,23,3,18,0,53,0,0,0,5,7,3,14,3,0,9,15,27,0,53,4,0,3,4,9,0,20,0,0,7,3,8,0,15,0,0,0,0,3,0,3,0,0,0,3,44,3,47,0,0,5,0,20,4,31,30,14,80,76,404,32,638,0,0,4,3,6,0,17,0,3,7,4,0,0,13,0,3,0,8,9,0,21,0,0,0,0,0,0,4,0,0,7,9,11,0,19,0,0,0,9,3,0,6,0,0,10,8,12,3,34,0,0,0,4
POA6084,0,0,8,10,29,3,48,3,0,5,18,120,10,160,0,0,6,13,114,11,142,0,0,0,3,13,0,22,0,0,11,17,215,5,250,0,0,0,3,31,3,33,0,0,0,3,40,0,39,0,0,3,0,13,0,23,0,0,4,7,76,3,91,0,0,0,3,3,0,11,0,0,0,10,13,0,24,0,0,0,0,12,0,17,3,0,21,11,15,3,54,0,0,0,4,22,0,26,3,5,37,24,45,0,117,4,3,10,3,13,0,35,3,0,3,0,6,0,19,0,0,0,3,8,0,7,0,0,3,4,73,6,85,3,0,4,7,58,5,86,23,9,121,147,934,57,1293,0,0,3,7,11,8,36,0,0,6,7,12,0,29,0,0,6,10,20,0,39,0,0,0,0,4,0,10,0,0,4,12,29,0,52,0,0,0,4,13,0,27,0,0,6,10,41,5,64,0,0,5,9
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6100,0,0,0,5,3,0,10,45,14,117,25,93,3,297,15,3,38,25,55,6,137,4,0,12,4,6,0,31,15,4,93,50,239,7,409,16,0,28,13,29,5,91,12,0,66,28,63,6,181,27,7,85,57,62,4,237,13,6,36,43,46,5,154,6,0,30,14,22,0,75,9,3,54,20,9,4,97,3,0,22,16,12,0,51,93,21,208,51,34,18,428,14,0,46,21,35,7,120,30,19,96,43,33,8,227,67,29,69,14,15,4,200,18,6,81,34,25,7,174,5,0,23,19,14,3,69,12,3,16,8,41,9,83,17,0,34,36,43,16,144,416,123,1165,529,870,102,3215,3,0,3,6,0,0,13,12,10,54,8,12,0,101,10,0,21,7,9,3,48,3,0,7,3,6,0,24,9,7,31,20,9,5,76,0,0,11,9,13,3,42,17,4,56,25,48,5,158,21,3,100,60
