region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6012,2029,5532,230,376,187,342,417,718,164,250,377,509,368,601,0,4,909,1364,0,0,0,0,3,8,3,8,0,0,3358,7622,406,0,3764,7622
POA6014,4779,13533,351,616,239,416,590,1032,693,1175,902,1506,319,448,4,8,1918,3137,0,0,0,0,3,3,3,3,6,7,7296,17712,849,0,8145,17712
POA6015,1900,5599,87,121,132,205,219,326,48,61,0,0,0,0,0,0,48,61,0,0,0,0,0,0,0,0,0,0,2167,5986,245,0,2412,5986
POA6016,2357,6180,396,809,337,666,733,1475,421,768,67,103,132,233,0,0,620,1104,0,0,0,0,8,7,8,7,0,0,3718,8766,308,0,4026,8766
POA6017,322,760,670,1232,165,326,835,1558,611,1015,61,94,0,0,0,0,672,1109,0,0,3,3,3,3,6,6,0,0,1835,3433,131,0,1966,3433
POA6018,8697,23136,2600,4857,974,2258,3574,7115,678,1184,67,115,85,107,7,5,837,1411,38,58,0,0,0,0,38,58,5,16,13151,31736,1309,0,14460,31736
POA6019,3960,9957,1525,2866,887,1829,2412,4695,1600,2682,121,172,143,296,0,0,1864,3150,0,0,0,0,0,0,0,0,4,3,8240,17805,1116,0,9356,17805
POA6020,6016,16686,530,969,193,441,723,1410,470,766,80,87,0,0,0,3,550,856,71,83,0,0,3,6,74,89,4,5,7367,19046,630,0,7997,19046
POA6021,5286,14092,1771,3249,220,527,1991,3776,131,235,0,0,0,0,0,5,131,240,0,0,0,0,0,0,0,0,7,10,7415,18118,582,0,7997,18118
POA6022,1741,4462,173,344,0,0,173,344,5,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1919,4809,128,0,2047,4809
POA6023,5008,14006,181,284,0,0,181,284,22,34,0,0,0,0,10,17,32,51,0,0,0,0,0,0,0,0,3,3,5224,14344,347,0,5571,14344
