POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA6209,4,0,11,9,0,3,0,3,0,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,3,0,5,0,8,0,0,22,42,69,103,47,34,23,35,28,8,381
POA6210,110,20,398,170,108,128,97,112,24,1181,0,0,3,3,7,3,8,3,0,26,19,34,28,18,10,16,24,15,3,166,28,33,79,52,47,42,55,54,53,432,1581,3329,3807,2177,1542,1052,1100,1139,256,15988
POA6211,18,0,35,18,13,8,7,12,3,114,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,3,22,0,0,7,4,8,3,4,13,12,52,177,347,463,199,186,99,129,128,25,1748
POA6213,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,10,23,31,30,15,13,6,19,20,0,149
POA6214,0,0,3,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,3,13,25,20,45,14,19,5,17,11,7,172
POA6215,3,0,21,9,4,3,10,8,0,57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,4,10,10,3,0,11,15,7,67,85,123,283,126,79,31,89,75,15,899
POA6218,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,7,5,19,11,3,3,10,11,3,77
POA6220,8,0,24,11,4,3,9,17,0,70,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,3,0,16,4,4,13,5,3,5,3,13,8,62,132,138,275,106,97,41,92,215,22,1119
POA6221,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,9,6,6,4,0,6,0,73
POA6223,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,17,13,11,6,10,3,0,8,3,70
POA6224,0,0,8,0,0,0,3,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,8,0,19,30,30,71,33,27,13,21,25,5,256
POA6225,5,0,40,22,7,9,18,15,5,126,0,0,0,0,0,0,0,0,3,6,0,7,0,3,0,0,3,0,3,27,7,0,22,7,6,12,24,24,5,101,150,275,659,259,179,75,240,147,33,2016
POA6226,4,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,49,54,81,17,27,13,10,12,0,278
POA6227,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,47,55,19,23,9,12,15,4,228
POA6228,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,0,5,0,4,0,0,38
