POA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6740,3,28,3,7,0,39,3,4,10,9,22,6,51,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,3,9,11,8,9,51,21,89,25,198
POA6743,30,100,22,47,11,235,13,23,127,54,57,16,285,6,0,16,5,20,3,51,3,3,3,6,61,3,84,3,0,7,5,47,17,76,86,83,494,299,859,99,1916
POA6751,15,58,15,17,4,112,3,0,14,19,17,0,60,0,0,0,0,4,0,5,0,0,6,8,27,3,39,0,0,3,4,18,3,30,70,38,308,231,1169,54,1872
POA6753,16,58,14,29,7,132,3,5,38,17,18,3,85,0,0,3,0,3,0,5,0,0,5,19,79,3,105,0,0,4,5,17,10,39,67,49,432,295,1500,114,2460
POA6754,6,18,5,3,0,28,0,3,12,0,5,5,20,0,0,0,0,0,0,0,0,0,3,0,9,0,13,0,0,0,0,0,4,6,7,10,79,65,247,21,431
POA6758,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,24,0,0,0,3,9,0,9,16,11,82,88,584,26,813
POA6760,0,8,0,4,8,21,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,3,3,25,21,84,12,147
POA6762,0,3,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,20,0,0,0,0,0,0,0,5,8,49,38,212,7,311
POA6765,5,38,9,25,4,96,7,3,23,10,8,4,60,0,0,0,0,0,0,3,0,0,0,0,27,7,36,3,0,3,0,0,3,9,22,11,93,34,113,35,312
POA6770,9,50,13,17,0,112,0,3,20,9,18,6,53,0,0,0,0,4,5,11,4,0,0,0,18,0,21,0,0,0,0,8,8,20,31,16,102,56,141,41,388
