region_id,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6062,8797,9071,17868,657,651,1308,104,91,195,82,60,142,53,49,102,32,34,66,2830,2843,5673,10,15,25,15,14,29,4,7,11,0,0,0,3130,3113,6243,1180,1207,2387,60,37,97,5027,5008,10035,704,638,1342,14528,14717,29245
POA6063,4008,3912,7920,338,318,656,34,37,71,38,32,70,35,23,58,18,8,26,1168,1215,2383,3,3,6,11,15,26,3,0,3,3,0,3,1313,1333,2646,453,462,915,29,26,55,2133,2139,4272,398,355,753,6539,6406,12945
POA6064,8856,8940,17796,420,491,911,102,65,167,92,73,165,46,40,86,24,19,43,2602,2742,5344,5,5,10,18,16,34,4,5,9,0,5,5,2893,2970,5863,927,963,1890,52,38,90,4292,4462,8754,917,788,1705,14065,14190,28255
POA6065,10344,10520,20864,1415,1516,2931,162,171,333,171,140,311,158,164,322,69,58,127,7239,7696,14935,30,35,65,31,28,59,16,11,27,4,0,4,7880,8303,16183,2538,2542,5080,76,82,158,11909,12443,24352,1140,1019,2159,23393,23982,47375
POA6066,5894,6112,12006,535,554,1089,40,41,81,29,23,52,30,29,59,10,11,21,1332,1448,2780,4,0,4,14,15,29,3,0,3,0,0,0,1462,1567,3029,416,453,869,30,23,53,2443,2597,5040,428,335,763,8765,9044,17809
POA6067,21,25,46,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,15,30,45,0,0,0,0,0,0,0,0,0,0,0,0,19,30,49,0,4,4,0,0,0,19,34,53,14,0,14,54,59,113
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,3868,4053,7921,1105,1166,2271,172,155,327,90,86,176,147,161,308,34,39,73,3994,4238,8232,26,19,45,34,52,86,10,8,18,0,0,0,4507,4758,9265,1042,1095,2137,54,59,113,6708,7078,13786,551,513,1064,11127,11644,22771
POA6070,1084,1105,2189,71,66,137,10,9,19,11,11,22,7,7,14,5,0,5,305,344,649,0,0,0,0,0,0,0,4,4,0,0,0,338,375,713,89,82,171,11,10,21,509,533,1042,53,38,91,1646,1676,3322
POA6071,1090,1139,2229,49,54,103,3,10,13,10,6,16,5,3,8,4,0,4,289,294,583,3,6,9,6,4,10,0,0,0,0,0,0,320,323,643,55,57,112,5,6,11,429,440,869,131,115,246,1650,1694,3344
