POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6639,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,6,0,0,15,0,0,0,9,20,28,23,6,0,91
POA6640,0,0,0,0,0,4,5,0,0,9,0,0,0,0,0,0,0,0,0,0,5,3,8,6,3,11,7,3,0,46,9,6,25,15,19,52,29,10,0,173
POA6642,0,0,3,4,4,10,18,0,0,38,0,0,0,0,0,0,0,0,0,0,28,12,64,43,36,29,15,3,5,233,40,52,230,172,148,138,70,12,10,870
POA6646,3,0,6,10,5,14,6,3,0,52,0,0,0,0,0,0,0,0,0,7,6,8,48,33,21,13,4,0,0,133,25,47,203,145,109,78,33,7,0,653
POA6701,7,5,12,19,35,42,78,48,10,263,0,0,4,4,3,7,3,13,4,35,31,54,139,129,144,127,94,48,23,785,174,302,762,713,847,752,490,210,69,4329
POA6705,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,10,6,15,3,4,6,0,0,0,42,17,24,54,23,29,28,17,3,0,190
POA6707,0,0,0,0,3,8,21,9,0,48,0,0,0,0,0,0,0,0,0,3,18,12,42,61,34,28,23,5,3,228,67,121,412,455,399,324,239,60,11,2085
POA6710,0,0,0,5,8,11,3,3,0,43,0,0,3,3,8,0,0,3,0,14,8,48,269,241,190,121,20,4,0,899,23,173,1098,972,917,563,84,19,3,3845
POA6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6712,0,0,0,4,7,3,4,0,0,14,0,0,4,4,0,0,0,0,0,13,0,9,114,131,89,49,10,0,0,401,0,69,653,590,423,203,24,0,0,1958
POA6713,0,0,3,0,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,4,3,10,17,24,6,0,0,0,67,24,35,137,209,230,82,28,6,5,749
POA6714,0,4,20,13,33,33,28,8,0,147,5,0,4,9,4,0,0,0,0,26,73,151,572,464,375,192,61,8,3,1895,386,1032,3764,3153,2276,1252,308,52,9,12233
POA6716,0,0,0,0,3,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10,7,14,16,3,0,0,0,50,11,35,163,137,131,68,10,3,0,552
POA6718,3,8,7,9,8,24,17,5,0,74,0,0,0,0,0,0,3,3,0,8,15,45,91,63,39,27,15,6,3,298,45,101,176,157,136,95,53,18,7,797
