POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6346,..,62,62,96,4,99,29,0,29,33,0,33,11,0,11,9,0,9,176,67,243
POA6348,..,129,129,128,6,134,27,0,27,21,0,21,23,0,23,7,0,7,206,130,332
POA6350,..,51,51,54,0,55,18,0,18,8,0,8,4,0,4,0,0,0,82,51,134
POA6351,..,4,4,7,0,7,6,0,6,3,0,3,8,0,8,0,0,0,22,4,31
POA6352,..,25,25,18,0,19,9,0,9,9,0,9,0,0,0,0,0,0,40,29,70
POA6353,..,91,91,98,10,101,42,0,42,34,0,34,14,0,14,7,0,7,190,101,292
POA6355,..,54,54,40,0,45,24,0,24,26,0,26,14,0,14,0,0,0,101,52,153
POA6356,..,18,18,15,4,14,3,0,3,8,0,8,3,0,3,0,0,0,22,24,45
POA6357,..,3,3,10,0,10,3,0,3,0,0,0,3,0,3,0,0,0,21,3,24
POA6358,..,10,10,20,0,20,4,0,4,0,0,0,0,0,0,0,0,0,30,10,41
POA6359,..,35,35,44,5,53,27,0,29,13,0,13,10,0,10,3,0,3,103,42,149
POA6361,..,6,6,13,0,15,0,0,6,9,0,9,0,0,0,0,0,0,30,11,41
POA6363,..,8,8,20,0,20,3,0,3,4,0,4,7,0,7,0,0,0,31,8,41
POA6365,..,76,76,79,7,84,23,0,23,21,0,21,10,0,10,4,0,4,141,81,217
POA6367,..,46,46,43,0,43,19,0,19,13,0,13,7,0,7,3,0,3,85,46,135
POA6368,..,8,8,13,0,16,7,0,7,3,0,3,3,0,3,0,0,0,24,8,29
POA6369,..,71,71,110,4,113,33,0,29,22,0,22,13,0,13,6,0,6,179,75,255
POA6370,..,55,55,67,7,72,22,0,22,18,0,18,11,0,11,9,0,9,120,63,178
POA6372,..,14,14,20,0,20,0,0,5,5,0,5,0,0,0,3,0,3,30,18,42
POA6373,..,3,3,12,0,12,8,0,8,5,0,5,0,0,0,0,0,0,29,3,33
POA6375,..,113,113,147,10,161,41,4,43,28,0,28,14,0,18,9,0,9,245,125,378
POA6383,..,136,136,146,8,156,43,0,43,27,0,27,8,0,8,12,0,12,244,141,382
POA6384,..,4,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,4,10
POA6385,..,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,10,0,9
POA6386,..,15,15,19,0,20,7,0,7,4,0,4,3,0,3,0,0,0,26,14,36
POA6390,..,139,139,220,8,222,86,0,86,104,0,106,39,0,39,18,0,18,467,148,619
POA6391,..,89,89,143,9,147,43,3,45,44,0,44,32,0,32,7,0,7,263,96,358
POA6392,..,68,68,79,3,79,18,0,18,16,0,16,11,0,11,6,0,6,127,66,194
POA6393,..,15,15,21,0,18,6,0,6,4,0,4,7,0,7,0,0,0,28,15,51
POA6394,..,39,39,76,4,74,15,0,15,29,0,29,18,0,18,0,0,0,135,42,175
POA6395,..,182,182,217,5,226,67,0,67,89,0,89,35,0,35,18,0,18,423,192,609
POA6396,..,33,33,37,0,37,16,4,23,18,0,18,11,0,11,0,0,0,88,34,120
POA6397,..,14,14,18,0,16,3,0,3,3,0,3,4,0,4,0,0,0,27,17,40
POA6398,..,78,78,93,3,101,16,0,16,12,0,12,11,0,11,3,0,3,137,81,220
POA6401,..,822,822,928,58,989,338,12,352,328,0,335,172,0,172,108,0,108,1881,892,2777
POA6403,..,17,17,20,3,25,9,0,9,10,0,10,5,0,5,0,0,0,45,22,62
POA6405,..,31,31,43,4,44,16,0,16,17,0,17,9,0,9,4,0,4,89,34,118
POA6407,..,110,110,113,0,114,55,0,60,46,3,43,28,0,28,11,0,11,249,112,366
POA6409,..,38,38,38,4,49,15,0,22,12,0,12,11,0,11,5,0,5,88,46,137
POA6410,..,115,115,140,8,146,47,0,49,41,0,41,21,0,21,20,0,20,263,128,392
POA6411,..,9,9,21,0,21,6,0,6,5,0,5,0,0,0,0,0,0,34,9,44
POA6412,..,0,0,11,0,11,4,0,4,0,0,0,0,0,0,0,0,0,16,0,19
POA6413,..,6,6,10,0,10,0,0,0,3,0,3,0,0,0,0,0,0,17,6,25
POA6414,..,3,3,12,0,14,0,0,0,3,0,3,3,0,3,0,0,0,22,7,24
POA6415,..,323,323,370,18,391,138,9,142,122,0,120,70,0,72,37,8,44,734,370,1096
POA6418,..,99,99,107,3,112,25,0,25,26,0,26,18,0,18,3,0,3,184,106,285
POA6419,..,8,8,10,0,11,3,0,3,0,0,0,3,0,3,0,0,0,15,10,22
POA6420,..,7,7,12,0,12,10,0,10,3,0,3,0,0,0,0,0,0,23,7,35
POA6421,..,10,10,17,0,19,10,0,10,4,0,4,3,0,3,0,0,0,36,11,46
POA6422,..,3,3,3,0,3,5,0,5,3,0,3,0,0,0,0,0,0,13,3,16
POA6423,..,18,18,26,0,26,3,0,3,5,0,5,0,0,0,3,0,3,44,18,55
POA6424,..,7,7,9,0,14,3,0,3,3,0,5,3,0,3,0,0,0,18,7,27
POA6425,..,5,5,19,0,19,5,0,5,3,0,3,0,0,0,0,0,0,29,5,35
POA6426,..,120,120,126,3,128,38,0,38,32,0,32,11,0,11,4,0,4,212,125,334
POA6427,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6428,..,0,0,4,0,4,7,0,7,0,0,0,4,0,4,0,0,0,17,0,16
POA6429,..,121,121,99,14,114,38,6,46,31,0,31,20,0,20,10,0,10,207,140,350
POA6430,..,1745,1745,2147,209,2352,1188,58,1241,1274,26,1299,592,7,595,296,3,295,5494,2045,7536
POA6431,..,42,42,34,3,34,30,0,30,11,0,11,19,0,19,49,0,49,137,44,183
POA6432,..,680,680,637,98,730,362,14,376,338,0,339,155,0,160,95,0,95,1586,785,2377
POA6434,..,12,12,7,0,7,0,0,0,6,0,6,3,0,3,0,0,0,17,14,27
POA6436,..,25,25,6,0,8,3,0,3,5,0,5,3,0,3,0,0,0,20,20,41
POA6437,..,35,35,36,0,36,21,0,21,20,0,20,15,0,15,0,0,0,89,35,122
