POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6240,32,58,0,0,0,0,0,0,0,10,0,10,0,0,0,4,7,17,7,18,10,28,0,0,0,3,0,0,4,4,3,4,0,0,0,3,0,0,0,3,3,11,0,0,45,99
POA6243,8,18,0,0,0,5,0,8,3,8,4,22,0,5,0,0,0,3,3,8,5,24,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,0,5,4,0,0,15,50
POA6244,216,427,0,0,13,40,5,17,89,366,104,428,4,29,7,20,14,44,31,101,136,525,0,0,3,4,0,9,18,61,24,73,3,7,4,3,5,16,13,21,38,100,0,5,396,1055
POA6251,46,92,0,3,3,25,3,10,18,77,29,121,3,11,0,3,3,14,9,19,33,139,0,0,0,0,0,0,4,12,4,12,0,7,0,3,7,8,8,17,11,29,0,3,93,263
POA6252,21,44,0,5,0,6,0,0,7,26,10,39,0,6,0,3,0,3,3,7,9,47,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,4,3,4,3,5,0,0,35,101
POA6253,117,219,3,20,4,23,0,0,23,80,30,121,0,10,4,7,10,22,15,39,46,165,0,0,3,8,0,0,6,15,11,30,0,0,3,5,5,15,9,17,21,48,0,0,179,430
POA6254,63,125,0,0,6,19,0,8,25,101,27,128,0,0,3,8,10,24,8,35,40,154,0,0,4,13,0,5,9,20,13,42,4,8,3,8,8,18,16,36,28,81,0,7,136,368
POA6255,588,1136,0,11,42,178,19,78,203,807,265,1075,18,79,29,81,54,160,102,318,364,1390,3,11,12,33,0,4,64,167,79,217,3,3,7,18,27,56,43,84,114,296,3,9,1067,2833
POA6256,62,121,4,16,0,9,0,4,26,87,33,120,0,5,0,5,8,28,13,36,41,158,0,0,0,0,0,0,4,12,4,12,0,0,0,0,0,3,0,3,4,10,0,0,107,299
POA6258,793,1551,14,83,64,323,25,107,362,1427,470,1944,20,84,54,167,119,356,191,606,659,2547,8,29,19,64,11,44,108,302,148,433,6,23,27,62,85,183,120,265,267,704,26,49,1741,4851
POA6260,177,343,0,4,27,121,4,25,75,282,102,439,3,15,13,43,24,71,41,122,144,564,0,0,3,9,0,6,21,48,20,63,0,0,4,10,16,30,17,41,46,102,5,13,366,1015
POA6262,115,225,0,5,6,15,3,11,40,149,44,185,0,3,5,17,12,34,18,59,62,236,0,0,0,4,0,0,16,38,16,43,0,7,0,3,11,14,13,19,24,60,0,4,204,525
POA6271,418,815,7,28,45,200,6,37,210,801,268,1071,9,39,23,78,47,144,80,258,349,1334,0,5,7,34,4,17,81,219,97,273,3,8,9,20,47,92,57,121,152,396,10,16,925,2558
POA6275,211,411,0,6,9,52,3,21,55,210,69,289,3,7,0,8,29,84,34,100,103,394,0,0,0,4,0,3,29,71,31,82,0,0,0,3,15,32,18,36,41,111,3,9,360,922
POA6280,3286,6414,61,316,298,1346,91,402,1758,6847,2207,8904,115,433,241,753,487,1462,845,2649,3043,11555,13,66,93,326,28,108,492,1353,630,1853,36,122,126,264,314,655,471,1041,1103,2898,65,136,7503,20998
POA6281,811,1572,12,54,66,281,22,78,638,2399,742,2806,19,67,49,141,81,242,147,454,889,3257,3,9,19,62,7,22,100,242,126,325,4,13,21,47,49,92,79,159,201,483,9,21,1913,5340
POA6282,184,357,0,7,17,78,0,11,94,369,121,473,6,26,12,40,20,48,35,110,154,582,0,0,0,3,0,0,11,21,11,28,0,0,8,11,9,12,12,21,25,46,0,3,363,994
POA6284,199,395,0,0,26,118,0,11,225,854,258,978,11,42,8,26,22,59,41,120,295,1106,0,0,3,18,0,4,37,84,43,104,0,0,3,14,13,36,23,52,65,153,4,11,566,1659
POA6285,903,1736,14,58,93,393,17,87,771,2872,889,3411,32,110,65,194,101,296,191,594,1083,4009,3,10,37,119,16,44,190,488,245,652,4,20,39,81,91,195,140,291,383,948,13,33,2383,6722
POA6286,96,193,0,0,3,27,0,7,36,129,41,158,3,10,3,3,8,29,15,42,58,202,0,0,0,6,0,0,6,9,3,14,0,0,0,4,7,19,8,24,12,36,0,0,166,429
POA6288,61,125,0,6,4,24,3,10,35,146,44,180,0,9,8,12,8,27,18,44,62,225,0,0,3,6,0,0,3,23,6,28,0,0,0,0,6,4,5,11,15,39,0,3,137,393
POA6290,303,594,0,0,11,45,5,9,60,205,72,262,3,24,16,41,23,69,44,130,113,395,0,0,10,21,0,0,18,43,28,70,3,6,3,4,22,36,24,51,52,119,3,8,472,1110
POA6302,519,1008,0,20,30,113,17,64,171,693,219,891,7,28,12,39,58,176,79,247,297,1134,3,8,12,54,0,8,64,163,78,234,3,7,14,31,37,80,54,118,136,351,9,15,958,2513
POA6304,253,499,3,18,14,61,7,21,84,303,106,409,3,10,7,18,27,81,40,112,143,515,0,4,7,15,0,7,21,59,24,86,0,0,3,9,18,31,21,39,45,121,6,16,451,1149
POA6306,133,270,3,9,4,19,0,7,64,232,70,267,3,11,8,19,12,49,26,79,96,344,0,0,0,0,4,16,12,49,16,62,0,0,0,3,8,26,11,25,30,87,3,5,269,711
POA6308,234,456,0,7,14,44,7,20,85,338,101,410,8,13,4,19,27,66,34,104,140,513,0,0,0,4,5,25,25,72,29,102,0,0,4,5,19,42,21,43,52,148,3,9,433,1123
POA6309,43,87,0,0,3,8,0,3,12,44,12,54,0,7,0,3,3,12,8,19,19,73,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,8,3,8,0,0,71,173
POA6311,84,170,0,0,3,15,0,0,38,150,39,165,0,7,5,9,13,30,13,44,56,211,0,0,0,7,0,3,3,11,6,19,0,0,0,4,0,3,3,4,6,27,0,9,159,419
POA6312,471,923,9,34,42,190,16,76,271,1089,337,1391,23,86,30,77,89,264,134,427,467,1820,0,9,12,35,9,37,111,322,135,397,3,9,21,39,64,142,89,189,218,590,19,38,1179,3369
POA6313,44,82,0,0,4,6,0,5,15,55,20,67,0,3,4,5,0,10,8,18,24,88,0,0,4,11,0,0,3,5,4,19,0,0,0,0,0,0,0,0,3,21,4,13,80,197
